Department,Sub_Department,Topic,question_name,question_url,question_answer
Science Discovery Zone,Science Discovery Zone,Science Discovery Zone,Do I need a startup or an idea to join the  Science Discovery Zone (SDZ)?,https://www.torontomu.ca/discoveryzone/about/faqs/#!accordion-1595232342503-do-i-need-a-startup-or-an-idea-to-join-the-sdz-,No. The SDZ is a place for people to learn new skills and explore opportunities and we don’t believe that you need a startup to do that.
Science Discovery Zone,Science Discovery Zone,Science Discovery Zone,Can I join the Science Discovery Zone (SDZ) if I'm not affiliated to Toronto Metropolitan University?,https://www.torontomu.ca/discoveryzone/about/faqs/#!accordion-1595232361061-can-i-join-the-sdz-if-i-m-not-affiliated-with-toronto-metropolitan-university-,Yes
Science Discovery Zone,Science Discovery Zone,Science Discovery Zone,Do I need to have a science background to connect with the Science Discovery Zone(SDZ)?,https://www.torontomu.ca/discoveryzone/about/faqs/#!accordion-1595232371311-do-i-need-to-have-a-science-background-to-connect-with-the-sdz-,No. We are discipline-agnostic and believe that diverse experiential and educational perspectives allow for some of the best kinds of collaboration.
